,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual,tas_annual_unit,tas_IMS_median,tas_IMS_median_un,tmax_annual,tmax_annual_un,tmin_annual,tmin_annual_un,pr_annual,pr_annual_unit,pr_IMS_median,pr_IMS_median_un
"Forbes et al., 2011",51,Nelson River,5101,5101,51.01,2010,2039,NA,5101.01,,,1.7,deltaC,,,,,,,-3.1,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.02,2010,2039,NA,5101.02,,,1.8,deltaC,,,,,,,3.2,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.03,2010,2039,NA,5101.03,,,1.2,deltaC,,,,,,,1,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.04,2010,2039,NA,5101.04,,,0.9,deltaC,,,,,,,-3,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.05,2010,2039,NA,5101.05,,,0.9,deltaC,,,,,,,5.3,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.06,2040,2069,NA,5101.06,,,2.8,deltaC,,,,,,,1.6,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.07,2040,2069,NA,5101.07,,,3.5,deltaC,,,,,,,2.6,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.08,2040,2069,NA,5101.08,,,2.4,deltaC,,,,,,,2.3,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.09,2040,2069,NA,5101.09,,,4.3,deltaC,,,,,,,2.5,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.1,2040,2069,NA,5101.1,,,1.5,deltaC,,,,,,,6,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.11,2070,2099,NA,5101.11,,,4,deltaC,,,,,,,-0.2,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.12,2070,2099,NA,5101.12,,,5.1,deltaC,,,,,,,9.3,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.13,2070,2099,NA,5101.13,,,3.2,deltaC,,,,,,,3.7,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.14,2070,2099,NA,5101.14,,,6.4,deltaC,,,,,,,8.4,%,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.15,2070,2099,NA,5101.15,,,2,deltaC,,,,,,,15.3,%,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.01,2050s,NA,NA,4301.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.02,2080s,NA,NA,4301.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.03,2050s,NA,NA,4301.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.04,2080s,NA,NA,4301.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.01,2050s,NA,NA,4302.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.02,2080s,NA,NA,4302.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.03,2050s,NA,NA,4302.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.04,2080s,NA,NA,4302.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.01,2050s,NA,NA,4303.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.02,2080s,NA,NA,4303.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.03,2050s,NA,NA,4303.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.04,2080s,NA,NA,4303.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.01,2050s,NA,NA,4304.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.02,2080s,NA,NA,4304.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.03,2050s,NA,NA,4304.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.04,2080s,NA,NA,4304.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.01,2050s,NA,NA,4305.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.02,2080s,NA,NA,4305.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.03,2050s,NA,NA,4305.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.04,2080s,NA,NA,4305.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.01,2050s,NA,NA,4306.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.02,2080s,NA,NA,4306.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.03,2050s,NA,NA,4306.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.04,2080s,NA,NA,4306.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.01,2050s,NA,NA,4307.01,,Values recorded for all locations,2.7,deltaC,,,,,,,6.8,%,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.02,2080s,NA,NA,4307.02,,,3.2,deltaC,,,,,,,12.5,%,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.03,2050s,NA,NA,4307.03,,,3.3,deltaC,,,,,,,9.7,%,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.04,2080s,NA,NA,4307.04,,,5.6,deltaC,,,,,,,14.4,%,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.01,2011,2040,NA,4901.01,,,0.7,deltaC,,,,,,,1.2,%,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.02,2041,2070,NA,4901.02,,,2.2,deltaC,,,,,,,11.1,%,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.03,2011,2040,NA,4901.03,,,1.5,deltaC,,,,,,,-0.4,%,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.04,2041,2070,NA,4901.04,,,2.3,deltaC,,,,,,,-2.2,%,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.01,1971,2000,2701,2701.01,,,,,,,,,,,657,mm,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.02,2071,2100,NA,2701.02,,,2.78,deltaC,,,,,,,776,mm,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.03,2071,2100,NA,2701.03,,,3.87,deltaC,,,,,,,816,mm,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.04,2071,2100,NA,2701.04,,,5.55,deltaC,,,,,,,834,mm,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.01,2070,2099,NA,3801.01,,,2.83,deltaC,,,,,,,7.9,%,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.02,2070,2099,NA,3801.02,,,4.64,deltaC,,,,,,,13,%,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.03,2070,2099,NA,3801.03,,,4.15,deltaC,,,,,,,22.3,%,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.04,2070,2099,NA,3801.04,,,7.05,deltaC,,,,,,,25,%,,
"Wu et al., 2012",197,Pacific,19701,19701,197.01,2010,2039,NA,19701.01,,,1.14,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.01,2010,2039,NA,19702.01,,,1.2,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.01,2010,2039,NA,19703.01,,,1.26,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.01,2010,2039,NA,19704.01,,,1.23,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.01,2010,2039,NA,19705.01,,,1.18,deltaC,,,,,,,1.8,%,,
"Wu et al., 2012",197,Pacific,19701,19701,197.02,2030,2059,NA,19701.02,,,2.02,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.02,2030,2059,NA,19702.02,,,2.12,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.02,2030,2059,NA,19703.02,,,2.22,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.02,2030,2059,NA,19704.02,,,2.16,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.02,2030,2059,NA,19705.02,,,2.08,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19701,19701,197.03,2070,2099,NA,19701.03,,,3.18,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.03,2070,2099,NA,19702.03,,,3.37,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.03,2070,2099,NA,19703.03,,,3.46,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.03,2070,2099,NA,19704.03,,,3.4,deltaC,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.03,2070,2099,NA,19705.03,,,3.28,deltaC,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.01,2021,2029,NA,3301.01,,,0.09,deltaC,,,,,,,-6.02,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.02,2031,2039,NA,3301.02,,,0.26,deltaC,,,,,,,-3.98,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.03,2061,2069,NA,3301.03,,,2.62,deltaC,,,,,,,11.04,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.04,2091,2099,NA,3301.04,,,3.71,deltaC,,,,,,,-2.2,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.05,2071,2100,NA,3301.05,,,1.91,deltaC,,,,,,,-2.67,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.06,2021,2029,NA,3301.06,,,0.06,deltaC,,,,,,,-3.68,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.07,2031,2039,NA,3301.07,,,0.62,deltaC,,,,,,,-4.47,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.08,2061,2069,NA,3301.08,,,1.61,deltaC,,,,,,,-3.41,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.09,2091,2099,NA,3301.09,,,2.46,deltaC,,,,,,,2.56,%,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.1,2071,2100,NA,3301.1,,,2.4,deltaC,,,,,,,5.9,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.01,2021,2060,NA,15801.01,,,-2.4,deltaC,,,,,,,60,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.02,2061,2100,NA,15801.02,,,-1.4,deltaC,,,,,,,68,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.03,2021,2060,NA,15801.03,,,-1.9,deltaC,,,,,,,62,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.04,2061,2100,NA,15801.04,,,1,deltaC,,,,,,,70,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.01,2021,2060,NA,15802.01,,,2.3,deltaC,,,,,,,9,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.02,2061,2100,NA,15802.02,,,3.2,deltaC,,,,,,,20,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.03,2021,2060,NA,15802.03,,,2.8,deltaC,,,,,,,11,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.04,2061,2100,NA,15802.04,,,5.5,deltaC,,,,,,,21,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.01,2021,2060,NA,15803.01,,,3.2,deltaC,,,,,,,20,%,,
