,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual_IMS_min,tas_annual_IMS_min_un,tas_annual_IMS_max,tas_annual_IMS_max_un,tmax_ann_IMS_min,tmax_ann_IMS_min_un,tmax_ann_IMS_max,tmax_ann_max_IMS_un,tmin_ann_IMS_min,tmin_ann_IMS_min_un,tmin_ann_IMS_max,tmin_ann_IMS_max_un,pr_annual_IMS_min,pr_annual_IMS_min_un,pr_annual_IMS_max,pr_annual_IMS_max_un
"Forbes et al., 2011",51,Nelson River,5101,5101,51.01,2010,2039,NA,5101.01,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.02,2010,2039,NA,5101.02,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.03,2010,2039,NA,5101.03,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.04,2010,2039,NA,5101.04,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.05,2010,2039,NA,5101.05,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.06,2040,2069,NA,5101.06,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.07,2040,2069,NA,5101.07,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.08,2040,2069,NA,5101.08,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.09,2040,2069,NA,5101.09,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.1,2040,2069,NA,5101.1,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.11,2070,2099,NA,5101.11,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.12,2070,2099,NA,5101.12,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.13,2070,2099,NA,5101.13,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.14,2070,2099,NA,5101.14,,,,,,,,,,,,,,,,,,
"Forbes et al., 2011",51,Nelson River,5101,5101,51.15,2070,2099,NA,5101.15,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.01,2050s,NA,NA,4301.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.02,2080s,NA,NA,4301.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.03,2050s,NA,NA,4301.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.04,2080s,NA,NA,4301.04,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.01,2050s,NA,NA,4302.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.02,2080s,NA,NA,4302.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.03,2050s,NA,NA,4302.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.04,2080s,NA,NA,4302.04,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.01,2050s,NA,NA,4303.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.02,2080s,NA,NA,4303.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.03,2050s,NA,NA,4303.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.04,2080s,NA,NA,4303.04,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.01,2050s,NA,NA,4304.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.02,2080s,NA,NA,4304.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.03,2050s,NA,NA,4304.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.04,2080s,NA,NA,4304.04,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.01,2050s,NA,NA,4305.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.02,2080s,NA,NA,4305.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.03,2050s,NA,NA,4305.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.04,2080s,NA,NA,4305.04,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.01,2050s,NA,NA,4306.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.02,2080s,NA,NA,4306.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.03,2050s,NA,NA,4306.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.04,2080s,NA,NA,4306.04,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.01,2050s,NA,NA,4307.01,,Values recorded for all locations,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.02,2080s,NA,NA,4307.02,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.03,2050s,NA,NA,4307.03,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.04,2080s,NA,NA,4307.04,,,,,,,,,,,,,,,,,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.01,2011,2040,NA,4901.01,,,,,,,,,,,,,,,,,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.02,2041,2070,NA,4901.02,,,,,,,,,,,,,,,,,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.03,2011,2040,NA,4901.03,,,,,,,,,,,,,,,,,,
"Farjad et al., 2017",49,Nelson River,4901,4901,49.04,2041,2070,NA,4901.04,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.01,1971,2000,2701,2701.01,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.02,2071,2100,NA,2701.02,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.03,2071,2100,NA,2701.03,,,,,,,,,,,,,,,,,,
"Cochand et al., 2019",27,St. Lawrence,2701,2701,27.04,2071,2100,NA,2701.04,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.01,2070,2099,NA,3801.01,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.02,2070,2099,NA,3801.02,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.03,2070,2099,NA,3801.03,,,,,,,,,,,,,,,,,,
"Dibike et al., 2018",38,Great Slave Lake,3801,3801,38.04,2070,2099,NA,3801.04,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19701,19701,197.01,2010,2039,NA,19701.01,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.01,2010,2039,NA,19702.01,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.01,2010,2039,NA,19703.01,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.01,2010,2039,NA,19704.01,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.01,2010,2039,NA,19705.01,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19701,19701,197.02,2030,2059,NA,19701.02,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.02,2030,2059,NA,19702.02,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.02,2030,2059,NA,19703.02,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.02,2030,2059,NA,19704.02,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.02,2030,2059,NA,19705.02,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19701,19701,197.03,2070,2099,NA,19701.03,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.03,2070,2099,NA,19702.03,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.03,2070,2099,NA,19703.03,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.03,2070,2099,NA,19704.03,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.03,2070,2099,NA,19705.03,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.01,2021,2029,NA,3301.01,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.02,2031,2039,NA,3301.02,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.03,2061,2069,NA,3301.03,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.04,2091,2099,NA,3301.04,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.05,2071,2100,NA,3301.05,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.06,2021,2029,NA,3301.06,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.07,2031,2039,NA,3301.07,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.08,2061,2069,NA,3301.08,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.09,2091,2099,NA,3301.09,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.1,2071,2100,NA,3301.1,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.01,2021,2060,NA,15801.01,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.02,2061,2100,NA,15801.02,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.03,2021,2060,NA,15801.03,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.04,2061,2100,NA,15801.04,,,,,,,,,,,,,,,,,,
