,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_djf,tas_djf_unit,tas_mam,tas_mam_unit,tas_jja,tas_jja_unit,tas_son,tas_son_unit,tmax_mam,tmax_mam_un,tmax_jja,tmax_jja_un,tmax_son,tmax_son_un,tmax_djf,tmax_djf_un,tmin_mam,tmin_mam_un,tmin_jja,tmin_jja_un,tmin_son,tmin_son_un,tmin_djf,tmin_djf_un,,pr_djf,pr_djf_unit,pr_mam,pr_mam_unit,pr_jja,pr_jja_unit,pr_son,pr_son_unit
"Forbes et al., 2011",51,Nelson River,5101,5101,51.01,2010,2039,NA,5101.01,,,1.4,deltaC,1,deltaC,2.5,deltaC,1.8,deltaC,,,,,,,,,,,,,,,,,,4.9,%,-2.8,%,-15.5,%,1.1,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.02,2010,2039,NA,5101.02,,,2.6,deltaC,1.3,deltaC,1.6,deltaC,1.6,deltaC,,,,,,,,,,,,,,,,,,16.5,%,4.3,%,-5.3,%,-2.9,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.03,2010,2039,NA,5101.03,,,1.6,deltaC,1.6,deltaC,1.6,deltaC,0.7,deltaC,,,,,,,,,,,,,,,,,,10,%,2.8,%,-5.6,%,-3.2,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.04,2010,2039,NA,5101.04,,,-0.2,deltaC,1.8,deltaC,1.2,deltaC,0.9,deltaC,,,,,,,,,,,,,,,,,,-5.5,%,1.7,%,-3.5,%,-4.8,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.05,2010,2039,NA,5101.05,,,1.7,deltaC,0.7,deltaC,1.1,deltaC,1.2,deltaC,,,,,,,,,,,,,,,,,,0,%,12.4,%,10.2,%,-1.5,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.06,2040,2069,NA,5101.06,,,1.8,deltaC,1.8,deltaC,1.9,deltaC,1.8,deltaC,,,,,,,,,,,,,,,,,,9.1,%,6.7,%,-10.4,%,0.8,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.07,2040,2069,NA,5101.07,,,3.9,deltaC,2.8,deltaC,3.5,deltaC,3.8,deltaC,,,,,,,,,,,,,,,,,,19.4,%,19,%,-15.5,%,-12.4,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.08,2040,2069,NA,5101.08,,,2.6,deltaC,3.2,deltaC,2.2,deltaC,1.6,deltaC,,,,,,,,,,,,,,,,,,8.9,%,4.4,%,-5.7,%,1.4,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.09,2040,2069,NA,5101.09,,,4.5,deltaC,4.4,deltaC,4.3,deltaC,4.1,deltaC,,,,,,,,,,,,,,,,,,9.4,%,9.9,%,-3.5,%,-5.8,%
"Forbes et al., 2011",51,Nelson River,5101,5101,51.1,2040,2069,NA,5101.1,,,1.3,deltaC,1.3,deltaC,2,deltaC,1.6,deltaC,,,,,,,,,,,,,,,,,,1.3,%,7.4,%,5.2,%,10.2,%
