,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,MedDlyFlo,MedDlyFlo_un,AnnSflo,AnnSflo_un,MedAnnSflo,MedAnnSflo_un,MeanFlo,MeanFlo_un,MedIMSOvMeanFlo,MedIMSOvMeanFlo_un,MedOvMeanFlo,MedOvMeanFlo_un,WaterYield,WaterYieldunit,Runoff,Runoff_un,AnnRunVol,AnnRunVol_un,MedRunoff,MedRunoff_un,MeanDlyDisch,MeanDlyDisch_un,SWE,SWE_un,Evap,Evap_un,ET,ET_un,AET,AET_un,DpAqRech,DpAqRech_un,Infilt,Infilt_un,Rech,Rech_un,Perc,Perc_un,SoilWat,SoilWat_un,MaxFlo,MaxFlo_un,HighFlo,HighFlo_un,PkDlyRunoff,PkDlyRunoff_un,AnnPkRunoff,AnnPkRunoff_un,MeanAnnMaxFlo,MeanAnnMaxFlo_un,PkFlo,PkFlo_un,MeanAnnFldPk,MeanAnnFldPk_un,Qhigh,Qhigh_un,Ann1dayMaxFlo,Ann1dayMaxFlo_un,PkSflo,PkSflo_un,HighFlow,HighFlow_un,Flood_flow,Flood_flow_un,Qp_mean,Qpmean_un,MinFlo,MinFlo_un,LowFlo,LowFlo_un,LF,LF_un,Ann1dayMinFlo,Ann1dayMinFlo_un,DateMaxFlo,DateMaxFlo_un,DatePkRunoff,DatePkRunoff_un,DateAnnMxFldPk,DateAnnMxFldPk_un,DatePkDisch,DatePkDisch_un,DayAnn1dayMaxFlo,DayAnn1dayMaxFlo_un,DatePkSflo,DatePkSflo_un,DateSprFld,DateSprFld_un,dp_mean,dpmean_un,DateMinFlo,DateMinFlo_un,DayAnn1dayMinFlo,DayAnn1dayMinFlo_un
"Forbes, 2011",51,Nelson River,5101,5101,51,1961,1990,5101,,,25,mm,,,,,,,,,,,,,,,,,,,,,,,,,431,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.01,2010,2039,NA,,,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,411,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.02,2010,2039,NA,,,28,mm,,,,,,,,,,,,,,,,,,,,,,,,,435,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.03,2010,2039,NA,,,25,mm,,,,,,,,,,,,,,,,,,,,,,,,,433,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.04,2010,2039,NA,,,22,mm,,,,,,,,,,,,,,,,,,,,,,,,,422,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.05,2010,2039,NA,,,29,mm,,,,,,,,,,,,,,,,,,,,,,,,,461,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.06,2040,2069,NA,,,26,mm,,,,,,,,,,,,,,,,,,,,,,,,,430,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.07,2040,2069,NA,,,34,mm,,,,,,,,,,,,,,,,,,,,,,,,,423,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.08,2040,2069,NA,,,25,mm,,,,,,,,,,,,,,,,,,,,,,,,,440,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.09,2040,2069,NA,,,28,mm,,,,,,,,,,,,,,,,,,,,,,,,,436,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.1,2040,2069,NA,,,27,mm,,,,,,,,,,,,,,,,,,,,,,,,,460,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.11,2070,2099,NA,,,26,mm,,,,,,,,,,,,,,,,,,,,,,,,,415,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.12,2070,2099,NA,,,40,mm,,,,,,,,,,,,,,,,,,,,,,,,,444,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.13,2070,2099,NA,,,28,mm,,,,,,,,,,,,,,,,,,,,,,,,,445,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.14,2070,2099,NA,,,32,mm,,,,,,,,,,,,,,,,,,,,,,,,,463,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.15,2070,2099,NA,,,38,mm,,,,,,,,,,,,,,,,,,,,,,,,,493,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4803,4803,48.1,1961,1990,4803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.47,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4803,4803,48.2,2011,2040,NA,,,-8.47,%,,,,,,,,,,,,,,,,,,,,,,,,,411.55,mm,,,,,,,,,,,,,-3.5,%,,,,,,,,,,,,,,,,,,,,,,,,,-10.7,%,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4803,4803,48.3,2041,2070,NA,,,-7.29,%,,,,,,,,,,,,,,,,,,,,,,,,,444.28,mm,,,,,,,,,,,,,1.4,%,,,,,,,,,,,,,,,,,,,,,,,,,-7,%,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4801,4801,48.2,2011,2040,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4802,4802,48.2,2011,2040,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4801,4801,48.3,2041,2070,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farjad et al., 2015",48,Nelson River,4802,4802,48.3,2041,2070,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pohl et al., 2007",127,Arctic,12701,12701,127.01,1961,1990,12701,,,,,,,,,,,,,,,166,mm,,,,,,,,,91,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pohl et al., 2007",127,Arctic,12701,12701,127.02,2040,2069,NA,,,,,,,,,,,,,,,317,mm,,,,,,,,,106,mm,,,,,,,,,,,,,,,,,,,109,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pohl et al., 2007",127,Arctic,12701,12701,127.03,2040,2069,NA,,,,,,,,,,,,,,,299,mm,,,,,,,,,101,mm,,,,,,,,,,,,,,,,,,,107,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
