,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,JanSflo,JanSflo_un,FebSflo,FebSflo_un,MarSflo,MarSflo_un,AprSflo,AprSflo_un,MaySflo,MaySflo_un,JunSflo,JunSflo_un,JulSflo,JulSflo_un,AugSflo,AugSflo_un,SepSflo,SepSflo_un,OctSflo,OctSflo_un,NovSflo,NovSflo_un,DecSflo,DecSflo_un,JanMedSflo,JanMedSflo_un,FebMedSflo,FebMedSflo_un,MarMedSflo,MarMedSflo_un,AprMedSflo,AprMedSflo_un,MayMedSflo,MayMedSflo_un,JunMedSflo,JunMedSflo_un,JulMedSflo,JulMedSflo_un,AugMedSflo,AugMedSflo_un,SepMedSflo,SepMedSflo_un,OctMedSflo,OctMedSflo_un,NovMedSflo,NovMedSflo_un,DecMedSflo,DecMedSflo_un,JAN_WY,unit,Feb_WY,unit,Mar_WY,unit,Apr_WY,unit,May_WY,unit,Jun_WY,unit,Jul_WY,unit,Aug_WY,unit,Sep_WY,unit,Oct_WY,unit,Nov_WY,unit,Dec_WY,unit,JanRunoff,JanRunoff_un,FebRunoff,FebRunoff_un,MarRunoff,MarRunoff_un,AprRunoff,AprRunoff_un,MayRunoff,MayRunoff_un,JunRunoff,JunRunoff_un,JulRunoff,JulRunoff_un,AugRunoff,AugRunoff_un,SepRunoff,SepRunoff_un,OctRunoff,OctRunoff_un,NovRunoff,NovRunoff_un,DecRunoff,DecRunoff_un,JanSWE,JanSWE_un,FebSWE,FebSWE_un,MarSWE,MarSWE_un,AprSWE,AprSWE_un,MaySWE,MaySWE_un,JunSWE,JunSWE_un,JulSWE,JulSWE_un,AugSWE,AugSWE_un,SepSWE,SepSWE_un,OctSWE,OctSWE_un,NovSWE,NovSWE_un,DecSWE,DecSWE_un,JanEvap,JanEvap_un,FebEvap,FebEvap_un,MarEvap,MarEvap_un,AprEvap,AprEvap_un,MayEvap,MayEvap_un,JunEvap,JunEvap_un,JulEvap,JulEvap_un,AugEvap,AugEvap_un,SepEvap,SepEvap_un,OctEvap,OctEvap_un,NovEvap,NovEvap_un,DecEvap,DecEvap_un,JanET,JanET_un,FebET,FebET_un,MarET,MarET_un,AprET,AprET_un,MayET,MayET_un,JunET,JunET_un,JulET,JulET_un,AugET,AugET_un,SepET,SepET_un,OctET,OctET_un,NovET,NovET_un,DecET,DecET_un,JanAET,JanAET_un,FebAET,FebAET_un,MarAET,MarAET_un,AprAET,AprAET_un,MayAET,MayAET_un,JunAET,JunAET_un,JulAET,JulAET_un,AugAET,AugAET_un,SepAET,SepAET_un,OctAET,OctAET_un,NovAET,NovAET_un,DecAET,DecAET_un,JanRech,JanRech_un,FebRech,FebRech_un,MarRech,MarRech_un,AprRech,AprRech_un,MayRech,MayRech_un,JunRech,JunRech_un,JulRech,JulRech_un,AugRech,AugRech_un,SepRech,SepRech_un,OctRech,OctRech_un,NovRech,NovRech_un,DecRech,DecRech_un,JanPerc,JanPerc_un,FebPerc,FebPerc_un,MarPerc,MarPerc_un,AprPerc,AprPerc_un,MayPerc,MayPerc_un,JunPerc,JunPerc_un,JulPerc,JulPerc_un,AugPerc,AugPerc_un,SepPerc,SepPerc_un,OctPerc,OctPerc_un,NovPerc,NovPerc_un,DecPerc,DecPerc_un,JanSoilWat,JanSoilWat_un,FebSoilWat,FebSoilWat_un,MarSoilWat,MarSoilWat_un,AprSoilWat,AprSoilWat_un,MaySoilWat,MaySoilWat_un,JunSoilWat,JunSoilWat_un,JulSoilWat,JulSoilWat_un,AugSoilWat,AugSoilWat_un,SepSoilWat,SepSoilWat_un,OctSoilWat,OctSoilWat_un,NovSoilWat,NovSoilWat_un,DecSoilWat,DecSoilWat_un
"Forbes, 2011",51,Nelson River,5101,5101,51,1961,1990,5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.01,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.02,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.03,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.04,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.05,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.06,2040,2069,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.07,2040,2069,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.08,2040,2069,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.09,2040,2069,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
