,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,DJFSflo,DJFSflo_un,MAMSflo,MAMSflo_un,JJASflo,JJASflo_un,SONSflo,SONSflo_un,IMS_50_DJF_strflo,unit,IMS_50_MAM_strflo,unit,IMS_50_JJA_strflo,unit,IMS_50_SON_strflo,unit,MAM_water_supply,unit,JJA_water_supply,unit,DJFRunoff,DJFRunoff_un,MAMRunoff,MAMRunoff_un,JJARunoff,JJARunoff_un,SONRunoff,SONRunoff_un,Runoff_MAM_medflowyr,Runoff_MAM_medflowyr_un,DJFET,DJFET_un,MAMET,MAMET_un,JJAET,JJAET_un,SONET,SONET_un,DJFAET,DJFAET_un,MAMAET,MAMAET_un,JJAAET,JJAAET_un,SONAET,SONAET_un,SONRech,SONRech_un,DJFRech,DJFRech_un,MAMRech,MAMRech_un,JJARech,JJARech_un,DJFSoilWat,DJFSoilWat_un,MAMSoilWat,MAMSoilWat_un,JJASoilWat,JJASoilWat_un,SONSoilWat,SONSoilWat_un
"Forbes, 2011",51,Nelson River,5101,5101,51,1961,1990,5101,6.81,m3/s,40.86,m3/s,20.43,m3/s,5.33,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.01,2010,2039,NA,9.18,m3/s,35.83,m3/s,11.84,m3/s,3.26,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.02,2010,2039,NA,13.03,m3/s,52.12,m3/s,14.81,m3/s,3.85,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.03,2010,2039,NA,11.25,m3/s,42.94,m3/s,17.17,m3/s,3.26,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.04,2010,2039,NA,6.22,m3/s,39.98,m3/s,15.69,m3/s,3.85,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.05,2010,2039,NA,8.88,m3/s,44.12,m3/s,26.95,m3/s,5.63,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.06,2040,2069,NA,11.55,m3/s,47.67,m3/s,13.92,m3/s,4.74,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.07,2040,2069,NA,17.47,m3/s,65.44,m3/s,16.58,m3/s,1.18,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.08,2040,2069,NA,12.14,m3/s,42.64,m3/s,16.58,m3/s,4.15,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forbes, 2011",51,Nelson River,5101,5101,51.09,2040,2069,NA,15.1,m3/s,50.04,m3/s,14.51,m3/s,3.26,m3/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
