Ocean Drainage Areas,Location ID,ECCC Gauge Number,Comments,ECCC Gauge Name,Study Area as Reported,Latitude as Reported,Longitude as Reported,Lat,Lon,Sub-watershed,Watershed,Size,Size_un,Province,,
Nelson River,5101,05AB103,,,Beaver Creek ,49°44'N,113°52'W,49.63938,-113.7953,Oldman River,South Saskatchewan River,254,km2,AB,,
Nelson River,4801,05BJ010,,Glenmore Reservoir,East sub-catchment,,,50.9935,-114.1699,Elbow river watershed,Bow River,443.7,km2,AB,,
Nelson River,4802,05BJ004,,,West sub-catchment,,,50.94893,-114.571,Elbow river watershed,Bow River,791.3,km2,AB,,
Nelson River,4803,05BJ010,,Glenmore Reservoir,Entire watershed,,,50.9935,-114.1699,Elbow river watershed,Bow River,1235,km2,AB,,
Nelson River,4701,05BJ010,,Glenmore Reservoir,East sub-catchment,,,50.9935,-114.1699,Elbow river watershed,Bow River,443.7,km2,AB,,
Nelson River,4702,05BJ004,,,West sub-catchment,,,50.94893,-114.571,Elbow river watershed,Bow River,791.3,km2,AB,,
Nelson River,4703,05BJ010,,Glenmore Reservoir,Entire watershed,,,50.9935,-114.1699,Elbow river watershed,Bow River,1235,km2,AB,,
Arctic,12701,10ND002,,Trail Valley Creek Near Inuvik,Trail Valley Creek,68°45'N,133°30'W,68.75,-113.5,,,63,km2,NWT,,
St. Lawrence,13201,02GH003 ,,CANARD RIVER NEAR LUKERVILLE,Canard River watershed,,,42.15897,-83.01889,Northern Lake Erie,,348,km2,ON,,
Great Slave Lake,4301,07AD002,,,Hinton,,,53.42429,-117.5694,Upper Reach,Athabasca River Basin,9765,km2,AB,,
Great Slave Lake,4302,07AE001,,,Windfall,,,54.20753,-116.0632,Upper Reach,Athabasca River Basin,19600,km2,AB,,
Great Slave Lake,4303,07BC002,,,Pembina,,,54.45029,-113.9933,Middle Reach,Athabasca River Basin,13104,km2,AB,,
Great Slave Lake,4304,07BE001,,,Athabasca,,,54.72203,-113.288,Middle Reach,Athabasca River Basin,74602,km2,AB,,
Great Slave Lake,4305,07CD001,,,Clearwater,,,56.68526,-111.2553,Lower Reach,Athabasca River Basin,30792,km2,AB,,
Great Slave Lake,4306,07DA001,,,Ft. McMurray,,,56.78035,-111.4022,Lower Reach,Athabasca River Basin,132585,km2,AB,,
Great Slave Lake,4307,07DC001,,,Firebag,,,57.65113,-111.2025,Lower Reach,Athabasca River Basin,5988,km2,AB,,
St. Lawrence,11901,02PJ034 ,,BRAS D'HENRI (RIVIERE) A 2.3 KM DE LA BEAURIVAGE,second order catchment (sub-wat),,,46.54028,-71.33889,Bras d'Henri sub-watershed,Chaudiere River basin,2.36,km2,QB,,
St. Lawrence,12001,02EC011,BEAVER RIVER NEAR BEAVERTON,Woodville,Beaver River,44° 25' N,79° 20' W,44.416667,-79.3333333,Lake Simcoe,,282,km2,ON,,
St. Lawrence,12002,02EC018,PEFFERLAW BROOK NEAR UDORA,Udora,Pefferlaw River,44° 25' N,79° 20' W,44.416667,-79.3333333,Lake Simcoe,,332,km2,ON,,
Great Slave Lake,15801,07AD002,,Athabasca River at Hinton,Headwaters,,,53.42429,-117.5694,up to Athabasca River at Hilton,Athabasca River Basin,9760,km2,AB,,
Great Slave Lake,15802,07AG004,,McLeod River near Whitecourt,Foothills,,,54.01245,-115.8397,up to McLeod River near Whitecourt and the Athabasca River from Hilton to Windfall,Athabasca River Basin,9110,km2,AB,,
Great Slave Lake,15803,07BC002,,Pembina River at Jarvie,Prairie,,,54.45029,-113.9933,Pembina River at Jarvie,Athabasca River Basin,13100,km2,AB,,
Great Slave Lake,15804,07BE001,,Athabasca River at Athabasca,Lesser Slave,,,54.72203,-113.288,Lesser Slave Lake tributaries and the remaining part of the AR up to Athabasca,Athabasca River Basin,74600,km2,AB,,
Great Slave Lake,15805,07DA001,,Athabasca River below Fort McMurray,Boreal,,,56.78035,-111.4022,All downstream sections,Athabasca River Basin,133000,km2,AB,,
Great Slave Lake,15806,07DD011,ATHABASCA RIVER NEAR OLD FORT,,Athabasca River Basin ,,,58.37444,-111.5217,entire,Athabasca River Basin,161000,km2,AB,,
