Publication_ID,Method_ID,RCM_GCM,Em_Scen_as recorded,Emission Scenarios,Dsc_as_recorded,Reference Time Period_START,ReferencePeriod_End,FutPer_Start,FutPer_end,Future Time Periods,Hmod_as_recorded,Hydrologic Model,,
51,51,NA,NA,NA,NA,1961,1990,1961,1990,HIST,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.01,GCM,B2,B2,Delta method,1961,1990,2010,2039,NEARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.02,GCM,A1,A1,Delta method,1961,1990,2010,2039,NEARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.03,GCM,B2,B2,Delta method,1961,1990,2010,2039,NEARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.04,GCM,A1T,A1T,Delta method,1961,1990,2010,2039,NEARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.05,GCM,B2,B2,Delta method,1961,1990,2010,2039,NEARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.06,GCM,B2,B2,Delta method,1961,1990,2040,2069,MIDCENT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.07,GCM,A1,A1,Delta method,1961,1990,2040,2069,MIDCENT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.08,GCM,B2,B2,Delta method,1961,1990,2040,2069,MIDCENT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.09,GCM,A1T,A1T,Delta method,1961,1990,2040,2069,MIDCENT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.1,GCM,B2,B2,Delta method,1961,1990,2040,2069,MIDCENT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.11,GCM,B2,B2,Delta method,1961,1990,2070,2099,FARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.12,GCM,A1,A1,Delta method,1961,1990,2070,2099,FARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.13,GCM,B2,B2,Delta method,1961,1990,2070,2099,FARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.14,GCM,A1T,A1T,Delta method,1961,1990,2070,2099,FARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
51,51.15,GCM,B2,B2,Delta method,1961,1990,2070,2099,FARFUT,"ACRU agro-hydrological modeling system
",ACRU,,
48,48.1,NA,NA,NA,NA,1961,1990,1961,1990,HIST,MIKE SHE/MIKE 11,MIKE,,
48,48.2,GCM,A1F1,A1F1,Delta method,1961,1990,2011,2040,NEARFUT,MIKE SHE/MIKE 11,MIKE,,
48,48.3,GCM,A1F1,A1F1,Delta method,1961,1990,2041,2070,MIDCENT,MIKE SHE/MIKE 11,MIKE,,
127,127.01,NA,NA,NA,NA,1961,1990,1961,1990,HIST,WATFLOOD,WATFLOOD,,
